sp	temp_incu	gp	count
Boli_infu	10	0.34	207
Boli_infu	10	0.36	300
Boli_infu	10	0.38	435
Boli_infu	10	0.4	606
Boli_infu	10	0.42	826
Boli_infu	10	0.44	1084
Boli_infu	10	0.46	1464
Boli_infu	10	0.48	1981
Boli_infu	10	0.5	2434
Boli_infu	10	0.52	3007
Boli_infu	10	0.54	3675
Boli_infu	10	0.56	4456
Boli_infu	10	0.58	5359
Boli_infu	10	0.6	6154
Boli_infu	10	0.62	7173
Boli_infu	10	0.64	7997
Boli_infu	10	0.66	8655
Boli_infu	10	0.68	9276
Boli_infu	10	0.7	9924
Boli_infu	10	0.72	10241
Boli_infu	10	0.74	10279
Boli_infu	10	0.76	10108
Boli_infu	10	0.78	9671
Boli_infu	10	0.8	9115
Boli_infu	10	0.82	8184
Boli_infu	10	0.84	7074
Boli_infu	10	0.86	5722
Boli_infu	10	0.88	4457
Boli_infu	10	0.9	3090
Boli_infu	10	0.92	2090
Boli_infu	10	0.94	1153
Boli_infu	10	0.96	507
Boli_infu	10	0.98	171
Boli_infu	20	-1	0
Boli_infu	20	-0.98	0
Boli_infu	20	-0.96	0
Boli_infu	20	-0.94	0
Boli_infu	20	-0.92	0
Boli_infu	20	-0.9	0
Boli_infu	20	-0.88	0
Boli_infu	20	-0.86	0
Boli_infu	20	-0.84	0
Boli_infu	20	-0.82	0
Boli_infu	20	-0.8	0
Boli_infu	20	-0.78	0
Boli_infu	20	-0.76	0
Boli_infu	20	-0.74	0
Boli_infu	20	-0.72	0
Boli_infu	20	-0.7	0
Boli_infu	20	-0.68	0
Boli_infu	20	-0.66	0
Boli_infu	20	-0.64	0
Boli_infu	20	-0.62	0
Boli_infu	20	-0.6	0
Boli_infu	20	-0.58	0
Boli_infu	20	-0.56	0
Boli_infu	20	-0.54	0
Boli_infu	20	-0.52	0
Boli_infu	20	-0.5	0
Boli_infu	20	-0.48	0
Boli_infu	20	-0.46	0
Boli_infu	20	-0.44	0
Boli_infu	20	-0.42	0
Boli_infu	20	-0.4	0
Boli_infu	20	-0.38	0
Boli_infu	20	-0.36	0
Boli_infu	20	-0.34	0
Boli_infu	20	-0.32	0
Boli_infu	20	-0.3	0
Boli_infu	20	-0.28	0
Boli_infu	20	-0.26	0
Boli_infu	20	-0.24	0
Boli_infu	20	-0.22	0
Boli_infu	20	-0.2	0
Boli_infu	20	-0.18	0
Boli_infu	20	-0.16	0
Boli_infu	20	-0.14	0
Boli_infu	20	-0.12	0
Boli_infu	20	-0.1	0
Boli_infu	20	-0.08	0
Boli_infu	20	-0.06	0
Boli_infu	20	-0.04	0
Boli_infu	20	-0.02	0
Boli_infu	20	0	0
Boli_infu	20	0.02	0
Boli_infu	20	0.04	0
Boli_infu	20	0.06	0
Boli_infu	20	0.08	0
Boli_infu	20	0.1	0
Boli_infu	20	0.12	1
Boli_infu	20	0.14	0
Boli_infu	20	0.16	3
Boli_infu	20	0.18	4
Boli_infu	20	0.2	4
Boli_infu	20	0.22	5
Boli_infu	20	0.24	11
Boli_infu	20	0.26	23
Boli_infu	20	0.28	27
Boli_infu	20	0.3	53
Boli_infu	20	0.32	97
Boli_infu	20	0.34	177
Boli_infu	20	0.36	245
Boli_infu	20	0.38	420
Boli_infu	20	0.4	581
Boli_infu	20	0.42	875
Boli_infu	20	0.44	1264
Boli_infu	20	0.46	1781
Boli_infu	20	0.48	2470
Boli_infu	20	0.5	3289
Boli_infu	20	0.52	4328
Boli_infu	20	0.54	5674
Boli_infu	20	0.56	7326
Boli_infu	20	0.58	9172
Boli_infu	20	0.6	11045
Boli_infu	20	0.62	13019
Boli_infu	20	0.64	15242
Boli_infu	20	0.66	17652
Boli_infu	20	0.68	19818
Boli_infu	20	0.7	21639
Boli_infu	20	0.72	23296
Boli_infu	20	0.74	24472
Boli_infu	20	0.76	24430
Boli_infu	20	0.78	25066
Boli_infu	20	0.8	24159
Boli_infu	20	0.82	22669
Boli_infu	20	0.84	19991
Boli_infu	20	0.86	16987
Boli_infu	20	0.88	13440
Boli_infu	20	0.9	9986
Boli_infu	20	0.92	6648
Boli_infu	20	0.94	3896
Boli_infu	20	0.96	1854
Boli_infu	20	0.98	708
