cnum	sn2	sn1	press_sim	comp
8	0.02454551123	0.2439001799	0	18:0/20:4 PE
9	0.07012351602	0.2301860452	0	18:0/20:4 PE
10	0.05581010506	0.2226726413	0	18:0/20:4 PE
11	0.0485789068	0.2044070065	0	18:0/20:4 PE
12	0.03220069036	0.1915496588	0	18:0/20:4 PE
13	0.0332563594	0.1701337397	0	18:0/20:4 PE
14	0.05555124953	0.1542497873	0	18:0/20:4 PE
15	0.03275520355	0.1304233819	0	18:0/20:4 PE
16	0.06612981856	0.1112737879	0	18:0/20:4 PE
17	0.09595578909	0.08283652365	0	18:0/20:4 PE
18	0.09545899183	0.02636551671	0	18:0/20:4 PE
19	0.0890275538	0	0	18:0/20:4 PE
20	0.02195826545	0	0	18:0/20:4 PE
3	0.145257473	0.1967097521	250	18:0/20:4 PE
4	0.06498477608	0.233973965	250	18:0/20:4 PE
5	-0.0004132984031	0.2391287535	250	18:0/20:4 PE
6	0.1017617658	0.2513605058	250	18:0/20:4 PE
7	0.05121604353	0.2457386255	250	18:0/20:4 PE
8	0.02675383538	0.2456942797	250	18:0/20:4 PE
9	0.07082479447	0.2331753373	250	18:0/20:4 PE
10	0.0559727326	0.2258115709	250	18:0/20:4 PE
11	0.04988080263	0.208235845	250	18:0/20:4 PE
12	0.03254170343	0.1963551939	250	18:0/20:4 PE
13	0.03262854367	0.1751664728	250	18:0/20:4 PE
14	0.05471280217	0.1587534249	250	18:0/20:4 PE
15	0.03470657021	0.1354805082	250	18:0/20:4 PE
16	0.06848758459	0.115507409	250	18:0/20:4 PE
17	0.09924907982	0.08662587404	250	18:0/20:4 PE
18	0.09911293536	0.02776094154	250	18:0/20:4 PE
19	0.09224498272	0	250	18:0/20:4 PE
20	0.0230231043	0	250	18:0/20:4 PE
3	0.1464925557	0.2048909962	500	18:0/20:4 PE
4	0.06462298334	0.2414598167	500	18:0/20:4 PE
5	-0.002037669532	0.246597752	500	18:0/20:4 PE
6	0.104594484	0.2594493032	500	18:0/20:4 PE
7	0.05290193483	0.2535994351	500	18:0/20:4 PE
8	0.02921680547	0.2541696429	500	18:0/20:4 PE
9	0.07532631606	0.2423474193	500	18:0/20:4 PE
10	0.05805385113	0.2354955077	500	18:0/20:4 PE
11	0.05068698898	0.2182727605	500	18:0/20:4 PE
12	0.03362012282	0.2066208273	500	18:0/20:4 PE
13	0.03430067375	0.1851886213	500	18:0/20:4 PE
14	0.05806576833	0.1686290354	500	18:0/20:4 PE
15	0.0383922793	0.1447210759	500	18:0/20:4 PE
16	0.07427875698	0.123567082	500	18:0/20:4 PE
17	0.1068944782	0.09319056571	500	18:0/20:4 PE
18	0.1063002422	0.02989109419	500	18:0/20:4 PE
19	0.09913921356	0	500	18:0/20:4 PE
20	0.0245494917	0	500	18:0/20:4 PE
3	0.1526768506	0.2066083848	750	18:0/20:4 PE
4	0.0678839311	0.2440159768	750	18:0/20:4 PE
5	0.001850374974	0.2502756417	750	18:0/20:4 PE
6	0.1031214222	0.2637784779	750	18:0/20:4 PE
7	0.05119991302	0.2592607737	750	18:0/20:4 PE
8	0.02596412972	0.2602719963	750	18:0/20:4 PE
9	0.07538099587	0.2482014	750	18:0/20:4 PE
10	0.05916377157	0.2419236153	750	18:0/20:4 PE
11	0.05123013631	0.2239109427	750	18:0/20:4 PE
12	0.03570533544	0.2114868015	750	18:0/20:4 PE
13	0.03501898423	0.1902814806	750	18:0/20:4 PE
