N	N_err	Nu	Nu_err	chi2	comment	d	d_err	dof	eta1	eta1_err	offs	offs_err	q	rhor	rhor_err	scal	scal_err	sigC	sigC_err	sigH	zH	zH_err	shot	time
22.95549884695613	32.977595831713444	1.1573310947260993e-07	0.3637953713284635	990557.1803801736	[]	98.12549955993704	0.9677152394641838	491.0	0.17158456274639	0.0919722645913637	0.1135081068912361	0.0242518219721144	@->X	-2.0218068095855397	3.794108888349672	1.8709439844177768e-06	8.396622379730598e-06	2.4290891683562736	5.774534870437401	3.0	5.112714792094564	4.469567437862865	S3_PEO_08C_200MPa_X1_Y9_mcg.par	20220202 145616
23.838751897127977	62.25586101478259	1.5036810413765924e-06	3.4876200401648143	925385.2432848545	[]	100.95070226723534	0.9679049864794514	491.0	0.0985364386130812	0.0206117052572538	0.1327149418139949	0.0101582190058912	@->X	-1.3762040624719278	6.336136998416626	1.2297507262113155e-06	1.3135565240081303e-05	3.6972003128584174	20.64635005955448	3.0	6.443455320378139	5.685981068421309	S3_PEO_08C_177MPa_X1_Y8_mcg.par	20220202 145735
21.14643605334592	66.68777446626548	2.60015486706606e-06	5.519061466775987	750899.5088779572	[]	102.4238828688538	1.7097446792141622	491.0	0.2555014974984537	0.3255512785895834	0.1383626519452769	0.0217783086200105	@->X	-2.0629237477470825	4.221837495506733	2.017648484545784e-06	1.358509445356341e-05	2.4753112587902435	6.389208288551687	3.0	4.733934105538096	5.559384800517292	S3_PEO_08C_133MPa_X1_Y6_mcg.par	20220202 145617
20.941603310911656	64.0566774332892	1.6388232667995305e-06	3.497329145808251	736125.5608822607	[]	101.61014448359848	1.5731486058182549	491.0	0.2580406776331149	0.3252257691493178	0.1387190835879988	0.0215920970551483	@->X	-2.070963393391404	4.183975164314173	2.004380393892735e-06	1.3128054149270004e-05	2.457651641633539	6.278048238603514	3.0	4.728334731260544	5.477230858842319	S3_PEO_08C_155MPa_X1_Y7_mcg.par	20220202 145636
2.000010107553811	2.2204112427197398	6.64396362924201	34.752420780286954	417191.9370652776	[]	93.30308125765568	11.033455163123197	491.0	0.1851808604771309	0.4263444720670697	0.4010884620021082	0.0015069484611691	@->X	-1.736733463855978	3.5293086896560286	3.17633031300645e-07	1.4642203683203354e-06	5.36600489451687	7.698576015225538	3.0	9.80298360072664	0.914730000269916	S3_PEO_12C_177MPa_X2_Y8_mcg.par	20220202 145603
5.294078286480813	2.7051906738640903	5.508782255211669e-07	0.7076193164976514	359131.36611366697	[]	71.34547222388727	1.340806410242348	491.0	0.2683002415300746	0.2040250192765185	0.2206513564986783	0.0028531146113213	@->X	-0.1915778092815195	4.372868031078002	8.877725116755353e-07	8.315419086070794e-07	1.98755639359088	58.69473296919365	3.0	10.164280593669943	2.2769083831754937	S3_PEO_08C_000MPa_X1_Y0_mcg.par	20220202 145629
10.816958112043128	6.016725895142426	3.285034957698591e-06	0.8823678076103821	299329.90429949283	[]	66.81419538574224	0.9528876732377952	491.0	0.2725901338999849	0.1108000396273359	0.2189165517939728	0.0024789980474811	@->X	-0.6757717047756959	47.37933935571888	5.346814158237158e-07	3.695108956209893e-07	0.7714749291525875	56.0426035600804	3.0	10.448739067934836	1.3772859859783804	S3_PEO_16C_000MPa_X3_Y0_mcg.par	20220202 145708
11.537206174850324	7.41634436817859	4.332222080287392e-07	0.6620641728855174	286365.9465851505	[]	68.66474498912416	1.0177679652705236	491.0	0.2898142159952299	0.0916598522019001	0.2155033500547506	0.0024038161875474	@->X	-0.4814696459772553	39.4381352277513	5.378636709404274e-07	3.719516153208824e-07	0.6815764378492433	57.09138128275888	3.0	11.97695480907546	0.7597970324180183	S3_PEO_16C_044MPa_X3_Y2_mcg.par	20220202 145610
2.0000022434383014	8.512812242662738	15.039873806901369	209.85289991952172	275529.8128658405	[]	107.87305940860182	34.22669915801306	491.0	0.1320135884740372	0.9121869503903022	0.1954435658199163	0.0115053650095549	@->X	-2.018821700523996	40.27370867275029	1.3584365564146013e-06	7.757848108272839e-05	3.566445770557135	54.594357458561696	3.0	3.983239657188887	15.638847347684072	S3_PEO_08C_111MPa_X1_Y5_mcg.par	20220202 145731
12.162359896149416	5.102147020903399	1.0011561909703876e-06	0.7155993801383512	272910.1989290895	[]	67.28564652798492	0.7809091891693741	491.0	0.250530391933605	0.0595091114098672	0.2160891421085775	0.0023526403742237	@->X	-0.4570841580934743	50.56278400693828	5.778244644045398e-07	2.756484155337439e-07	0.5845150885518449	65.73718982279675	3.0	12.143223687026456	0.6188512842484686	S3_PEO_16C_022MPa_X3_Y1_mcg.par	20220202 145652
24.88393971255397	105.21491022570774	1.540855060969029e-07	1.022914809142723	37197.351790612	[]	94.2678709305117	2.547638693934873	491.0	0.3473198289272672	0.2057943636628627	0.0073008546511171	0.0016230815472827	@->X	-0.6823314421731987	0.7163527116838354	1.40020497167238e-07	5.948390178954488e-07	3.3223913562554865	4.324278327169937	3.0	14.36304179528619	0.9058611841587368	S3_PEO_20C_177MPa_X4_Y8_mcg.par	20220202 145652
24.30820347114037	107.45999356002925	4.573899165217214e-07	3.01046171229253	36568.00748874976	[]	82.45718189739232	1.8397912767037672	491.0	0.4173957220358403	0.3154966192505944	0.0120721115872773	0.0095545199112022	@->X	-2.294611675936106	18.397301721211694	1.585515279352539e-07	7.328543495697384e-07	1.4129047211847732	12.369586288283886	3.0	7.934386539108559	3.174619995651449	S3_PEO_20C_088MPa_X4_Y4_mcg.par	20220202 145620
25.0		0.0		32089.18289278963	[]	69.53609355346882		494.0	0.3400602069336586		0.0		@->X	-35.0991069878022		4.342535425140321e-07		97.0454241690243		3.0	-20.43096226690198		S3_PEO_20C_044MPa_X4_Y2_mcg.par	20220202 145637
24.3090779355979	91.2868385070282	4.237181316716452e-07	1.69979385079026	31272.16905517791	[]	87.95004581689172	1.4131815769396263	491.0	0.4686315002976449	0.252361793819053	0.0107999066777247	0.0016961252443429	@->X	-1.5980546797846542	3.1593531829978634	9.59499612820182e-08	4.368863802929854e-07	4.258469957794281	7.8453190578793555	3.0	10.452640459117816	3.493507217726856	S3_PEO_20C_133MPa_X4_Y6_mcg.par	20220202 145735
21.86325041984362	27.360943454877727	1.338393112773859e-07	0.5724415160225772	21742.051001518048	[]	73.07066518683739	0.7150331055479326	491.0	0.703107280908445	0.0973068378258806	0.0228937518186162	0.0012837755307071	@->X	-1.3592539561700967	0.7767959482589956	1.2559951121099685e-07	1.8577940346454886e-07	7.172300689185787	3.066746382457357	3.0	11.228619201567309	0.8952770036569556	S3_PEO_04C_000MPa_X0_Y0_mcg.par	20220202 145712
29.69301109915058	122.61886024112071	1.053657713848461e-06	2.579558609688825	10272.268530613344	[]	80.5020374782627	1.039448838962423	491.0	0.842881761065723	0.1446861496716095	0.027602771122398	0.0007635831681214	@->X	-1.3161347481121386	0.2953660905383111	5.5788313459261714e-08	2.318392112788438e-07	4.0323597639553865	0.9307789087411732	3.0	21.995886295305752	0.4001235465928808	S3_PEO_20C_200MPa_X4_Y9_mcg.par	20220202 145740
